id,gid,x,y,v_x,v_y,radius,time
7,7,4.142203,-4.248379,-0.730668,0.607903,0.500000,1.900000
0,0,5.419524,-0.058576,-1.498956,-0.059493,0.500000,2.000000
1,1,4.055754,4.079231,-0.685155,-0.487506,0.500000,2.000000
2,2,-0.039462,5.322857,0.121792,-1.414405,0.500000,2.000000
3,3,-3.878294,4.117723,0.649521,-0.709557,0.500000,2.000000
4,4,-5.814419,-0.058715,0.835691,-0.099306,0.500000,2.000000
5,5,-3.926671,-3.889894,1.133794,0.648433,0.500000,2.000000
6,6,0.029411,-5.386913,0.099720,1.335716,0.500000,2.000000
7,7,4.066894,-4.169605,-0.753090,0.787737,0.500000,2.000000
0,0,5.267401,-0.056544,-1.521226,0.020317,0.500000,2.100000
1,1,3.991641,4.025562,-0.641128,-0.536696,0.500000,2.100000
2,2,-0.036820,5.178268,0.026417,-1.445885,0.500000,2.100000
3,3,-3.783554,4.047366,0.947403,-0.703560,0.500000,2.100000
4,4,-5.736516,-0.051901,0.779028,0.068145,0.500000,2.100000
5,5,-3.812451,-3.842371,1.142194,0.475231,0.500000,2.100000
6,6,0.043159,-5.251011,0.137477,1.359015,0.500000,2.100000
7,7,4.010098,-4.102232,-0.567966,0.673734,0.500000,2.100000
0,0,5.120951,-0.059519,-1.464504,-0.029749,0.500000,2.200000
1,1,3.908134,3.963394,-0.835067,-0.621681,0.500000,2.200000
2,2,-0.040238,5.045570,-0.034179,-1.326984,0.500000,2.200000
3,3,-3.679507,3.971434,1.040464,-0.759327,0.500000,2.200000
4,4,-5.639300,-0.048300,0.972164,0.036007,0.500000,2.200000
5,5,-3.717076,-3.768848,0.953755,0.735231,0.500000,2.200000
6,6,0.051644,-5.107122,0.084847,1.438891,0.500000,2.200000
7,7,3.935212,-4.025968,-0.748862,0.762642,0.500000,2.200000
0,0,4.984424,-0.065461,-1.365265,-0.059419,0.500000,2.300000
1,1,3.829879,3.875488,-0.782557,-0.879058,0.500000,2.300000
2,2,-0.034058,4.873402,0.061804,-1.721678,0.500000,2.300000
3,3,-3.584395,3.913471,0.951125,-0.579629,0.500000,2.300000
4,4,-5.552051,-0.031643,0.872489,0.166573,0.500000,2.300000
5,5,-3.630261,-3.710081,0.868151,0.587671,0.500000,2.300000
6,6,0.056274,-4.957328,0.046306,1.497945,0.500000,2.300000
7,7,3.863386,-3.943759,-0.718254,0.822085,0.500000,2.300000
0,0,4.847259,-0.090294,-1.371654,-0.248331,0.500000,2.400000
1,1,3.756133,3.794537,-0.737458,-0.809512,0.500000,2.400000
2,2,-0.043794,4.720620,-0.097360,-1.527816,0.500000,2.400000
3,3,-3.507221,3.840844,0.771734,-0.726270,0.500000,2.400000
4,4,-5.458267,-0.052354,0.937836,-0.207107,0.500000,2.400000
5,5,-3.547130,-3.618897,0.831311,0.911836,0.500000,2.400000
6,6,0.055107,-4.832488,-0.011678,1.248395,0.500000,2.400000
7,7,3.795748,-3.858053,-0.676386,0.857064,0.500000,2.400000
0,0,4.675521,-0.124394,-1.717376,-0.340999,0.500000,2.500000
1,1,3.692399,3.715289,-0.637342,-0.792479,0.500000,2.500000
2,2,-0.043343,4.590532,0.004510,-1.300886,0.500000,2.500000
3,3,-3.408414,3.754944,0.988073,-0.858994,0.500000,2.500000
4,4,-5.375427,-0.057428,0.828405,-0.050745,0.500000,2.500000
5,5,-3.453120,-3.494073,0.940101,1.248244,0.500000,2.500000
6,6,0.069581,-4.684247,0.144742,1.482410,0.500000,2.500000
7,7,3.717646,-3.801906,-0.781018,0.561467,0.500000,2.500000
0,0,4.525214,-0.155842,-1.503073,-0.314477,0.500000,2.600000
1,1,3.624981,3.636421,-0.674174,-0.788680,0.500000,2.600000
2,2,-0.040777,4.444388,0.025658,-1.461435,0.500000,2.600000
3,3,-3.333054,3.688937,0.753598,-0.660077,0.500000,2.600000
4,4,-5.289740,-0.061925,0.856861,-0.044972,0.500000,2.600000
5,5,-3.387658,-3.388203,0.654614,1.058697,0.500000,2.600000
6,6,0.082141,-4.561600,0.125604,1.226474,0.500000,2.600000
7,7,3.642177,-3.742069,-0.754685,0.598371,0.500000,2.600000
0,0,4.374127,-0.142624,-1.510864,0.132173,0.500000,2.700000
1,1,3.538359,3.557024,-0.866222,-0.793970,0.500000,2.700000
2,2,-0.041506,4.296006,-0.007291,-1.483824,0.500000,2.700000
3,3,-3.242581,3.610038,0.904730,-0.788984,0.500000,2.700000
4,4,-5.192682,-0.105574,0.970586,-0.436489,0.500000,2.700000
5,5,-3.306268,-3.267621,0.813905,1.205819,0.500000,2.700000
6,6,0.104279,-4.420997,0.221374,1.406026,0.500000,2.700000
7,7,3.563212,-3.690151,-0.789651,0.519183,0.500000,2.700000
0,0,4.234094,-0.151123,-1.400338,-0.084987,0.500000,2.800000
1,1,3.454306,3.471254,-0.840535,-0.857695,0.500000,2.800000
2,2,-0.027124,4.147780,0.143817,-1.482260,0.500000,2.800000
3,3,-3.155690,3.524720,0.868915,-0.853180,0.500000,2.800000
4,4,-5.083290,-0.126868,1.093921,-0.212936,0.500000,2.800000
5,5,-3.228766,-3.174764,0.775019,0.928574,0.500000,2.800000
6,6,0.114752,-4.298643,0.104731,1.223546,0.500000,2.800000
7,7,3.475849,-3.624084,-0.873629,0.660672,0.500000,2.800000
0,0,4.096175,-0.169243,-1.379190,-0.181199,0.500000,2.900000
1,1,3.359858,3.390687,-0.944475,-0.805674,0.500000,2.900000
2,2,-0.015318,4.006268,0.118068,-1.415116,0.500000,2.900000
3,3,-3.034484,3.456793,1.212057,-0.679276,0.500000,2.900000
4,4,-4.998906,-0.125531,0.843835,0.013372,0.500000,2.900000
5,5,-3.143103,-3.049959,0.856633,1.248049,0.500000,2.900000
6,6,0.160485,-4.149974,0.457331,1.486685,0.500000,2.900000
7,7,3.396780,-3.553544,-0.790693,0.705395,0.500000,2.900000
0,0,3.964931,-0.182011,-1.312436,-0.127683,0.500000,3.000000
1,1,3.320152,3.311131,-0.397060,-0.795560,0.500000,3.000000
2,2,0.010631,3.861216,0.259489,-1.450522,0.500000,3.000000
3,3,-2.919858,3.374461,1.146256,-0.823313,0.500000,3.000000
4,4,-4.882733,-0.123707,1.161734,0.018237,0.500000,3.000000
5,5,-3.045283,-2.958362,0.978193,0.915970,0.500000,3.000000
6,6,0.162164,-4.025708,0.016795,1.242661,0.500000,3.000000
7,7,3.307829,-3.490070,-0.889508,0.634745,0.500000,3.000000
0,0,3.814545,-0.194708,-1.503862,-0.126968,0.500000,3.100000
1,1,3.252608,3.234158,-0.675441,-0.769726,0.500000,3.100000
2,2,0.032040,3.720988,0.214085,-1.402277,0.500000,3.100000
3,3,-2.821693,3.288545,0.981658,-0.859162,0.500000,3.100000
4,4,-4.769590,-0.109024,1.131430,0.146834,0.500000,3.100000
5,5,-2.944947,-2.866927,1.003362,0.914349,0.500000,3.100000
6,6,0.196038,-3.863693,0.338742,1.620149,0.500000,3.100000
7,7,3.248871,-3.427914,-0.589586,0.621553,0.500000,3.100000
0,0,3.669438,-0.209157,-1.451069,-0.144489,0.500000,3.200000
1,1,3.198865,3.157708,-0.537428,-0.764508,0.500000,3.200000
2,2,0.048210,3.582537,0.161705,-1.384511,0.500000,3.200000
3,3,-2.726503,3.207757,0.951893,-0.807883,0.500000,3.200000
4,4,-4.655278,-0.111395,1.143120,-0.023717,0.500000,3.200000
5,5,-2.838060,-2.821577,1.068866,0.453502,0.500000,3.200000
6,6,0.230703,-3.716492,0.346644,1.472014,0.500000,3.200000
7,7,3.170344,-3.342535,-0.785269,0.853797,0.500000,3.200000
0,0,3.491093,-0.193917,-1.783453,0.152400,0.500000,3.300000
1,1,3.133851,3.084116,-0.650144,-0.735916,0.500000,3.300000
2,2,0.072062,3.448508,0.238515,-1.340289,0.500000,3.300000
3,3,-2.603556,3.134533,1.229471,-0.732244,0.500000,3.300000
4,4,-4.547265,-0.099848,1.080127,0.115468,0.500000,3.300000
5,5,-2.738520,-2.754195,0.995405,0.673813,0.500000,3.300000
6,6,0.227877,-3.577307,-0.028262,1.391848,0.500000,3.300000
7,7,3.116329,-3.256405,-0.540147,0.861298,0.500000,3.300000
0,0,3.340723,-0.175698,-1.503696,0.182188,0.500000,3.400000
1,1,3.073476,3.015095,-0.603746,-0.690207,0.500000,3.400000
2,2,0.146740,3.302666,0.746780,-1.458422,0.500000,3.400000
3,3,-2.480848,3.061483,1.227082,-0.730498,0.500000,3.400000
4,4,-4.446721,-0.105356,1.005438,-0.055080,0.500000,3.400000
5,5,-2.649833,-2.687204,0.886875,0.669909,0.500000,3.400000
6,6,0.263879,-3.437238,0.360026,1.400690,0.500000,3.400000
7,7,3.045939,-3.159744,-0.703896,0.966613,0.500000,3.400000
0,0,3.157698,-0.179394,-1.830255,-0.036963,0.500000,3.500000
1,1,3.019930,2.933486,-0.535460,-0.816091,0.500000,3.500000
2,2,0.214371,3.172265,0.676314,-1.304004,0.500000,3.500000
3,3,-2.358618,2.979225,1.222301,-0.822573,0.500000,3.500000
4,4,-4.344177,-0.117069,1.025447,-0.117121,0.500000,3.500000
5,5,-2.546638,-2.604310,1.031948,0.828948,0.500000,3.500000
6,6,0.277016,-3.297502,0.131365,1.397360,0.500000,3.500000
7,7,2.967926,-3.078476,-0.780132,0.812680,0.500000,3.500000
0,0,2.990454,-0.150528,-1.672436,0.288668,0.500000,3.600000
1,1,2.943487,2.897711,-0.764428,-0.357755,0.500000,3.600000
2,2,0.233002,3.028630,0.186312,-1.436351,0.500000,3.600000
3,3,-2.247051,2.886215,1.115670,-0.930108,0.500000,3.600000
4,4,-4.247039,-0.123329,0.971375,-0.062604,0.500000,3.600000
5,5,-2.468054,-2.529109,0.785835,0.752012,0.500000,3.600000
6,6,0.346966,-3.135572,0.699505,1.619301,0.500000,3.600000
7,7,2.899010,-3.010377,-0.689166,0.680985,0.500000,3.600000
0,0,2.802120,-0.159189,-1.883343,-0.086615,0.500000,3.700000
1,1,2.872413,2.828940,-0.710748,-0.687707,0.500000,3.700000
2,2,0.294809,2.897620,0.618066,-1.310103,0.500000,3.700000
3,3,-2.155797,2.797133,0.912532,-0.890821,0.500000,3.700000
4,4,-4.154643,-0.118096,0.923963,0.052330,0.500000,3.700000
5,5,-2.369365,-2.432677,0.986892,0.964315,0.500000,3.700000
6,6,0.358081,-3.001477,0.111147,1.340947,0.500000,3.700000
7,7,2.810695,-2.947984,-0.883143,0.623932,0.500000,3.700000
0,0,2.622286,-0.145483,-1.798331,0.137065,0.500000,3.800000
1,1,2.814171,2.760371,-0.582421,-0.685688,0.500000,3.800000
2,2,0.324422,2.763731,0.296129,-1.338889,0.500000,3.800000
3,3,-2.064937,2.707090,0.908601,-0.900423,0.500000,3.800000
4,4,-4.038738,-0.098302,1.159045,0.197936,0.500000,3.800000
5,5,-2.267132,-2.374354,1.022329,0.583227,0.500000,3.800000
6,6,0.419493,-2.853573,0.614122,1.479043,0.500000,3.800000
7,7,2.709293,-2.868544,-1.014019,0.794394,0.500000,3.800000
0,0,2.444089,-0.144881,-1.781979,0.006015,0.500000,3.900000
1,1,2.763179,2.704335,-0.509911,-0.560366,0.500000,3.900000
2,2,0.357384,2.626252,0.329618,-1.374791,0.500000,3.900000
3,3,-1.988548,2.599798,0.763890,-1.072917,0.500000,3.900000
4,4,-3.949606,-0.087522,0.891329,0.107808,0.500000,3.900000
5,5,-2.166553,-2.271521,1.005790,1.028334,0.500000,3.900000
6,6,0.421885,-2.720806,0.023914,1.327668,0.500000,3.900000
7,7,2.642916,-2.784245,-0.663776,0.842991,0.500000,3.900000
0,0,2.287061,-0.153414,-1.570277,-0.085330,0.500000,4.000000
1,1,2.669875,2.641606,-0.933040,-0.627291,0.500000,4.000000
2,2,0.395808,2.470036,0.384244,-1.562160,0.500000,4.000000
3,3,-1.946558,2.467749,0.419903,-1.320494,0.500000,4.000000
4,4,-3.847694,-0.089156,1.019112,-0.016342,0.500000,4.000000
5,5,-2.076320,-2.180414,0.902334,0.911069,0.500000,4.000000
6,6,0.474917,-2.576528,0.530322,1.442786,0.500000,4.000000
7,7,2.569707,-2.711302,-0.732085,0.729431,0.500000,4.000000
0,0,2.100437,-0.169601,-1.866237,-0.161872,0.500000,4.100000
1,1,2.587299,2.580233,-0.825766,-0.613727,0.500000,4.100000
2,2,0.443101,2.333497,0.472932,-1.365388,0.500000,4.100000
3,3,-1.882424,2.373688,0.641338,-0.940611,0.500000,4.100000
4,4,-3.774304,-0.095724,0.733900,-0.065679,0.500000,4.100000
5,5,-2.012153,-2.079223,0.641671,1.011909,0.500000,4.100000
6,6,0.577686,-2.417024,1.027689,1.595041,0.500000,4.100000
7,7,2.488690,-2.639746,-0.810177,0.715558,0.500000,4.100000
0,0,1.927287,-0.198045,-1.731502,-0.284431,0.500000,4.200000
1,1,2.500163,2.543551,-0.871357,-0.366824,0.500000,4.200000
2,2,0.446250,2.203910,0.031488,-1.295872,0.500000,4.200000
3,3,-1.813501,2.291080,0.689237,-0.826079,0.500000,4.200000
4,4,-3.698432,-0.076340,0.758727,0.193838,0.500000,4.200000
5,5,-1.916025,-2.081181,0.961282,-0.019583,0.500000,4.200000
6,6,0.652965,-2.256759,0.752793,1.602647,0.500000,4.200000
7,7,2.413958,-2.574121,-0.747318,0.656257,0.500000,4.200000
